idx,card_name,company,card_type,brands,annual_fee,pre_month_money,pre_month_condition,top_benefit_summary,benefit_categories,only_online,release_dt,card_img,detail_url
2962,더한섬 신한카드,신한카드,신용,Mastercard,"국내전용 [15,000]원 / 해외겸용 [18,000]원",400000,"400,000원","할인: 더한섬, EQL,직영매장 5% 할인 | 적립: 더한섬 특별 적립처 3% 적립 | 적립: 그 외 국내외 가맹점 0.5% 적립","제휴/PLCC, 골프, 기타, 국내외가맹점, 병원, 약국, 기타, SPA브랜드, 면세점, 백화점, 아울렛, 온라인쇼핑, 주유소, 카페, KT, LGU+, SKT, 점심, 모든가맹점, 온라인쇼핑",False,2025-08-14,https://d1c5n4ri2guedi.cloudfront.net/card/2962/card_img/48069/2962card.png,https://www.card-gorilla.com/card/detail/2962
2956,두산베어스 KB카드,KB국민카드,신용,Mastercard,"국내전용 [15,000]원 / 해외겸용 [15,000]원",300000,"300,000원",할인: 두산베어스 특화 최대 3만원 할인 | 할인: 생활 영역 최대 2만원 할인,"경기관람, 편의점, 디지털구독, 배달앱, 마트/편의점, 스트리밍(넷플릭스,티빙 등), 배달앱, 스포츠/게임",False,2026-01-28,https://d1c5n4ri2guedi.cloudfront.net/card/2956/card_img/47584/2956card_1.png,https://www.card-gorilla.com/card/detail/2956
2957,한화이글스 신한카드,신한카드,신용,Mastercard,"국내전용 [20,000]원 / 해외겸용 [23,000]원",300000,"300,000원",할인: 한화이글스 홈경기 5천원 할인 | 국내외가맹점: 국내/외 가맹점 0.7% 캐시백 | 할인: 잔돈 월 10회 할인,"경기관람, 캐시백, 국내외가맹점, 영화, KT, LGU+, SKT, 모든가맹점, 통신비, 영화, 스포츠/게임",False,2025-08-04,https://d1c5n4ri2guedi.cloudfront.net/card/2957/card_img/47588/2957card_1.png,https://www.card-gorilla.com/card/detail/2957
2863,디지로카 Travel,롯데카드,신용,AMEX,"국내전용 [20,000]원 / 해외겸용 [20,000]원",0,없음,적립: 기본적립 국내 1% 해외 1.2% 적립 | 여행/숙박: 특별적립 항공권 2% 호텔/렌터카 3% 적립 | 적립: 보너스적립 1.5만마일 적립 (연 1회),"기타, 국내외가맹점, 적립, 렌터카, 호텔, 항공권, 해외결제, 숙박・여행",False,2025-05-28,https://d1c5n4ri2guedi.cloudfront.net/card/2863/card_img/43838/2863card.png,https://www.card-gorilla.com/card/detail/2863
2864,디지로카 Travel 프리미엄,롯데카드,신용,AMEX,"국내전용 [100,000]원 / 해외겸용 [100,000]원",0,없음,적립: 기본적립 국내 1.2% 해외 1.5% 적립 | 여행/숙박: 특별적립 항공권 3% 호텔/렌터카 5% 적립 | 적립: 보너스적립 7만마일 적립 (연 1회),"기타, 국내외가맹점, 적립, 렌터카, 호텔, 항공권, 해외결제, 숙박・여행",False,2025-06-27,https://d1c5n4ri2guedi.cloudfront.net/card/2864/card_img/43839/2864card.png,https://www.card-gorilla.com/card/detail/2864
2862,MG+ S 하나카드,MG새마을금고,신용,Mastercard,"국내전용 [17,000]원 / 해외겸용 [17,000]원",300000,"300,000원",간편결제: 간편결제 10% 청구할인 | 디지털구독: 영상 스트리밍 50% 청구할인 | 디지털구독: 디지털 멤버십 50% 청구할인,"네이버페이, 카카오페이, APP, 기타, 디지털구독",False,2025-06-18,https://d1c5n4ri2guedi.cloudfront.net/card/2862/card_img/43837/2862card.png,https://www.card-gorilla.com/card/detail/2862
2762,THE iD. TITANIUM (아시아나),삼성카드,신용,VISA,"국내전용 [700,000]원 / 해외겸용 [700,000]원",0,없음,"바우처: 바우처 연 2가지 제공 | 항공마일리지: 1,500원당 2 마일리지 기본 적립 | 항공마일리지: 여행/골프/면세점 1 마일리지 추가 적립","공항라운지, 더라운지, 골프, 면세점, 리조트, 호텔, 항공권, 프리미엄 서비스, 바우처, 아시아나항공",False,2024-08-26,https://d1c5n4ri2guedi.cloudfront.net/card/2762/card_img/37841/2761card.png,https://www.card-gorilla.com/card/detail/2762
2761,KB국민카드 KaPick,KB국민카드,신용,"Mastercard, AMEX","국내전용 [15,000]원 / 해외겸용 [15,000]원",300000,"300,000원",쇼핑: 온라인 쇼핑 10% 할인 | 쇼핑: 오프라인 쇼핑 5% 할인 | 통신: 이동 통신 요금 5% 할인,"SSM, 대형마트, 편의점, 온라인쇼핑, 영화, 디지털구독, KT, LGU+, SKT, 기타",False,2024-09-05,https://d1c5n4ri2guedi.cloudfront.net/card/2761/card_img/37839/2760card.png,https://www.card-gorilla.com/card/detail/2761
2732,토스뱅크 하나카드 Wide,하나카드,신용,Mastercard,"국내전용 [20,000]원 / 해외겸용 [20,000]원",400000,"400,000원",할인: 국내외 모든 가맹점 최대 2% 청구할인,국내외가맹점,False,2024-04-19,https://d1c5n4ri2guedi.cloudfront.net/card/2732/card_img/37974/2732card_1.png,https://www.card-gorilla.com/card/detail/2732
2736,현대홈쇼핑 현대카드,현대카드,신용,VISA,"국내전용 [10,000]원 / 해외겸용 [10,000]원",0,없음,홈쇼핑: 현대홈쇼핑 3% 적립 | 적립: 그 외 가맹점 1% 적립,"기타, 홈쇼핑",False,,https://d1c5n4ri2guedi.cloudfront.net/card/2736/card_img/36643/2736card_1.png,https://www.card-gorilla.com/card/detail/2736
2718,모바일엔디지로카,롯데카드,신용,Mastercard,"국내전용 [20,000]원 / 해외겸용 [20,000]원",400000,"400,000원",통신: 이동통신요금 최대 2만원 할인,"KT, LGU+, SKT, 기타",False,2024-05-02,https://d1c5n4ri2guedi.cloudfront.net/card/2718/card_img/35577/2728card.png,https://www.card-gorilla.com/card/detail/2718
2677,"카드의정석 Dear, Shopper(디어쇼퍼)",우리카드,신용,Mastercard,"국내전용 [150,000]원 / 해외겸용 [150,000]원",500000,"500,000원",쇼핑: 퍼스널 쇼핑 5% 적립 | 적립: 국내 가맹점 1% 적립 | 공항라운지/PP: 국내외 공항라운지 무료 이용,"공항라운지, 더라운지, 백화점, 아울렛, 온라인쇼핑, 기타, 프리미엄 서비스, 바우처, 해외이용",False,2024-01-26,https://d1c5n4ri2guedi.cloudfront.net/card/2677/card_img/32696/2677card.png,https://www.card-gorilla.com/card/detail/2677
2678,"카드의정석 Dear, Traveler(디어트래블러)",우리카드,신용,Mastercard,"국내전용 [150,000]원 / 해외겸용 [150,000]원",500000,"500,000원",여행/숙박: 퍼스널 트래블 5% 적립 | 적립: 국내 가맹점 1% 적립 | 공항라운지/PP: 국내외 공항라운지 무료 이용,"공항라운지, 더라운지, 기차, 대중교통, 택시, 여행사, 프리미엄 서비스, 바우처, 해외이용",False,2024-01-26,https://d1c5n4ri2guedi.cloudfront.net/card/2678/card_img/32701/2678card.png,https://www.card-gorilla.com/card/detail/2678
2533,에너지 더블 카드,하나카드,신용,Mastercard,"국내전용 [20,000원] / 해외겸용 [20,000원]",400000,"400,000원",공과금: 에너지 공과금 10% 할인 | 대형마트: 대형마트 5% 할인 | 충전소: 전기차 충전 10% 할인,"공과금, 대중교통, 무이자할부, 생활, 대형마트, 주유소, 충전소, 베이커리",False,,https://d1c5n4ri2guedi.cloudfront.net/card/2533/card_img/29209/2533card.png,https://www.card-gorilla.com/card/detail/2533
2518,컬리카드,BC 바로카드,신용,"BC, AMEX","국내전용 [12,000원] / 해외겸용 [12,000원]",0,없음,기타: 컬리 적립금 5% 적립 | 기타: 해외 가맹점 2% 적립 | 기타: 국내 가맹점 1% 적립,"제휴/PLCC, 기타, 국내외가맹점, 적립, 해외이용",False,,https://d1c5n4ri2guedi.cloudfront.net/card/2518/card_img/28798/2518card.png,https://www.card-gorilla.com/card/detail/2518
